Customer ID,Loan Sanction Amount (USD)
C-27336,92942.84
C-36772,46041.727
C-3197,11729.95
C-14674,81264.28
C-5092,22291.059
C-41664,99.742676
C-85,38219.043
C-48382,-407.8078
C-35744,91844.88
C-32776,-341.43854
C-49131,-595.6205
C-29703,37008.477
C-14880,40407.156
C-36170,-860.5497
C-41645,741.92847
C-4784,44628.477
C-38418,69341.6
C-13222,81780.945
C-32852,26181.143
C-21795,29216.842
C-121,45377.71
C-39952,40266.953
C-45166,227.75772
C-32641,60555.195
C-27678,19788.002
C-10704,-1099.4537
C-33461,26061.633
C-22001,104294.41
C-30170,73696.13
C-23960,67101.57
C-16139,22168.84
C-27022,11706.479
C-19074,27328.316
C-49284,-653.93134
C-8598,53099.87
C-14962,33190.457
C-35254,-52.64391
C-30635,1544.2168
C-6981,16927.95
C-5924,36906.0
C-9590,43313.184
C-23842,74728.62
C-45972,-178.9901
C-39623,84655.81
C-49153,-515.1408
C-34958,82353.24
C-36476,72473.58
C-28630,-509.95612
C-12012,77163.96
C-37986,86307.18
C-11513,71510.664
C-48999,1030.0135
C-7194,63949.43
C-14162,69766.7
C-6137,11797.776
C-7348,1296.3824
C-25756,244.77104
C-40915,96312.984
C-28646,26887.734
C-31130,52123.97
C-8532,15881.999
C-24097,35706.36
C-1855,22192.33
C-35375,43730.055
C-3997,167847.8
C-42188,223.77034
C-33694,10828.939
C-1613,32869.2
C-9405,87518.03
C-5964,33621.195
C-20231,34270.64
C-23969,14230.845
C-36011,4122.3066
C-23079,141897.08
C-44925,46.946712
C-9000,103500.734
C-49513,506.5991
C-49824,103.26454
C-17542,113166.44
C-39446,46538.996
C-24862,31717.926
C-30025,41167.164
C-20039,25880.773
C-34113,107799.54
C-19871,61421.35
C-7017,26391.84
C-16017,80635.0
C-1475,85645.22
C-35040,72088.664
C-37318,18660.377
C-4757,80078.805
C-26696,50966.586
C-2450,100177.97
C-38702,57403.914
C-31969,48513.117
C-34069,26144.547
C-23160,32382.97
C-30804,-299.38287
C-49195,-4951.0044
C-13029,54312.062
C-39590,487.5584
C-45950,-627.61914
C-1907,167360.62
C-9729,34643.934
C-24353,51060.65
C-3768,122833.37
C-48652,-20624.26
C-14858,12494.307
C-32326,27869.076
C-35385,-485.67017
C-45900,624.71686
C-5823,42687.453
C-29879,51703.793
C-2015,50836.277
C-19823,61174.93
C-19528,71068.04
C-40682,96212.05
C-49354,-1670.4913
C-25744,122810.87
C-14328,65931.03
C-2727,86347.914
C-45497,964.2351
C-17894,196078.39
C-10903,25782.832
C-39413,70876.305
C-4926,30967.662
C-29376,51.54941
C-7440,41822.25
C-38279,38463.836
C-43246,962.45667
C-33701,2089.2375
C-1603,119714.414
C-21756,-116.4253
C-20553,24.75116
C-40318,160.89401
C-23274,40680.098
C-3521,5838.519
C-19742,51692.633
C-42176,257.7476
C-33938,113963.5
C-20363,102967.57
C-1614,116329.555
C-22568,-40.88603
C-24796,42683.984
C-25092,59800.832
C-40256,38081.926
C-27504,55483.94
C-25753,86461.47
C-27194,53779.51
C-17798,814.93555
C-11864,36287.844
C-722,19417.588
C-8111,147666.25
C-25051,-1204.4503
C-42216,2099.3782
C-20767,-156.72636
C-22334,66542.85
C-23551,47298.777
C-48437,-532.1945
C-21452,65155.836
C-16307,58243.883
C-29324,40652.69
C-4513,-1080.6863
C-32774,22621.748
C-15695,28218.947
C-48811,1310.6964
C-24101,76952.99
C-17567,39486.965
C-3203,44199.477
C-27870,75951.21
C-34250,1343.3467
C-6052,49982.402
C-33730,93923.13
C-33735,56550.562
C-41784,-348.93192
C-36379,67049.52
C-37051,56954.523
C-45284,1538.5068
C-22611,26714.623
C-15220,20530.125
C-46916,-77.25279
C-16477,-940.3686
C-32921,65556.37
C-10743,72125.74
C-25717,15498.058
C-38804,92919.01
C-47665,2683.1558
C-47745,-1831.7717
C-8340,126496.58
C-35857,10463.666
C-13835,71627.875
C-8181,109031.3
C-7606,19155.098
C-28889,89757.266
C-19884,23258.678
C-26792,-477.23376
C-29963,76935.21
C-23208,15367.599
C-26232,139815.38
C-38972,-305.0992
C-28626,110368.18
C-3278,25356.87
C-9079,29822.965
C-18569,40828.4
C-43756,91.10504
C-17687,50387.707
C-5824,97547.42
C-6145,25622.46
C-5160,28796.988
C-13520,47752.805
C-2648,25903.871
C-9345,161180.5
C-46369,-132.0017
C-34024,33376.21
C-37594,29638.25
C-16600,53952.098
C-12689,102479.375
C-31285,22.087528
C-20977,83717.5
C-8645,78498.69
C-28949,78240.42
C-42339,-596.71814
C-18516,93065.766
C-26843,21339.281
C-37352,62716.33
C-9621,35933.758
C-40583,36870.28
C-44959,193.73206
C-10087,77279.69
C-31261,140749.5
C-2632,56775.367
C-35797,96511.586
C-9943,30941.893
C-48614,271.94193
C-38577,33758.22
C-9012,16932.133
C-22068,36812.855
C-34390,11970.022
C-17445,22453.936
C-42960,-5.1175766
C-29172,27414.188
C-8067,12952.605
C-19101,754.55597
C-16365,-117.37023
C-46578,1298.7217
C-7726,52215.375
C-11802,67821.06
C-26157,518.3551
C-12804,14238.958
C-13829,29884.254
C-16434,55577.074
C-27426,174613.44
C-40208,127897.94
C-35800,29970.723
C-14093,174.83243
C-11648,150621.84
C-44330,-318.5301
C-3517,72191.17
C-21658,76489.664
C-6711,34981.79
C-16178,23965.744
C-19315,52133.86
C-12505,-215.4823
C-39404,61737.547
C-23783,274.8597
C-40002,49603.61
C-30526,25517.547
C-8034,46230.273
C-33801,142251.22
C-44646,-1092.9417
C-32172,26586.023
C-15887,-3279.3994
C-391,544.07874
C-35271,178157.4
C-45419,867.54205
C-26170,-621.97864
C-41141,83798.26
C-19608,27265.58
C-12816,39749.59
C-2852,590.8423
C-23982,48806.1
C-27035,52710.906
C-19243,36469.457
C-33098,26646.16
C-18918,75518.22
C-38094,20718.611
C-39100,69428.97
C-10477,16107.699
C-41693,146.09091
C-25244,73602.305
C-30176,216378.12
C-43024,-441.57562
C-17663,37435.727
C-18116,64883.93
C-12113,77170.54
C-47954,197.5514
C-5056,159574.34
C-13678,-1799.98
C-11014,25772.367
C-38944,14600.399
C-6241,754.70795
C-3386,22474.975
C-44010,-799.0287
C-38450,58073.39
C-5233,49510.09
C-29556,24395.396
C-8420,121678.516
C-15978,27766.342
C-34580,26022.527
C-31624,71.79696
C-26269,28125.521
C-22174,20323.988
C-39257,100179.04
C-461,2809.2747
C-19987,23859.047
C-22313,70359.44
C-36169,46305.89
C-27644,29793.643
C-2735,36.433163
C-15015,30617.97
C-37397,34596.69
C-45699,152.95892
C-20783,61971.445
C-17847,17873.344
C-38305,14649.274
C-6907,-601.2549
C-7342,124147.95
C-7045,69.48717
C-13221,83503.875
C-34726,35221.656
C-35426,75632.07
C-43748,1279.1495
C-2888,29930.502
C-32967,27221.469
C-30265,110723.39
C-13304,122800.195
C-17380,63049.96
C-1417,48926.54
C-21679,52953.55
C-31369,129165.03
C-18618,393.99655
C-15173,38711.016
C-25409,106371.766
C-22695,98708.84
C-7870,121562.29
C-35059,133533.81
C-19262,85410.66
C-10179,1370.7562
C-10978,-8866.577
C-45858,-900.6095
C-8194,27851.385
C-9392,62782.87
C-49795,-53.598824
C-23829,28662.277
C-28834,11289.476
C-45277,230.27258
C-11440,15705.827
C-10158,51115.184
C-46131,387.61816
C-27846,45931.93
C-12099,35246.75
C-7556,28120.906
C-36717,77697.984
C-6230,36685.56
C-26450,96879.484
C-42638,-157.26
C-40852,83417.695
C-48264,79.63422
C-25725,48411.637
C-1251,24429.582
C-38116,72230.35
C-33330,60940.348
C-28034,36925.36
C-15275,53638.47
C-18947,86407.79
C-45711,28640.705
C-39206,94912.18
C-2536,38063.32
C-45427,7.7774324
C-34637,1533.2722
C-8357,16241.763
C-15199,107209.6
C-42345,1630.1575
C-15973,75081.08
C-778,306.44064
C-18961,16496.883
C-31944,76686.8
C-49215,-24347.285
C-15736,22295.775
C-39719,50031.47
C-21669,100970.47
C-12666,115758.445
C-108,61695.836
C-28294,48520.773
C-931,59292.906
C-46269,68523.82
C-21864,57318.223
C-40951,15599.752
C-17344,50669.285
C-30471,17860.518
C-6151,-5.2045784
C-49031,18.192585
C-21146,-97.25046
C-9283,14086.772
C-38375,12970.09
C-37722,93269.54
C-39145,98774.81
C-7771,135411.94
C-14611,62433.062
C-3433,69531.12
C-47000,5191.519
C-38783,109642.836
C-25384,54246.016
C-27444,87872.7
C-20567,66005.336
C-19163,176559.47
C-7784,26620.652
C-42195,436.39395
C-15641,65299.598
C-45148,616.2447
C-49786,607.02686
C-43483,183571.06
C-31900,36338.004
C-7955,20096.66
C-49917,-279.84906
C-20928,134574.3
C-32586,116440.305
C-8832,21241.867
C-37974,45454.145
C-11184,115296.6
C-27932,18717.041
C-22581,82781.97
C-17470,75835.02
C-35562,392.69284
C-21391,30917.547
C-2036,70348.62
C-487,27224.584
C-49534,-1781.0836
C-27793,116592.85
C-47718,171.12497
C-28840,66.91671
C-36903,206383.33
C-12478,16872.47
C-5497,82125.27
C-19291,27369.234
C-37414,-1074.0834
C-27189,54581.547
C-23974,133.71483
C-37756,821.6515
C-6994,22626.701
C-26676,13088.239
C-18336,24544.057
C-39249,56512.984
C-46594,1403.677
C-46668,54265.875
C-31182,23861.406
C-33649,-108.83525
C-795,27549.664
C-41864,2279.4973
C-27099,142908.39
C-13217,15528.616
C-27941,37623.418
C-26999,56202.418
C-19798,65450.984
C-872,15570.009
C-42696,-893.49023
C-4207,46842.24
C-5977,39387.336
C-37417,96688.04
C-27520,107926.9
C-28968,45664.266
C-7218,116288.484
C-9926,131990.05
C-6283,16269.76
C-28564,188539.2
C-7458,49532.797
C-23936,77303.72
C-15056,48466.926
C-48332,-3150.7812
C-5285,78613.45
C-22261,14587.793
C-6649,68639.62
C-39775,93285.99
C-16672,-163.63087
C-22949,41369.832
C-33264,363.06134
C-18411,24545.695
C-2981,25909.41
C-25486,31192.48
C-20743,56625.543
C-43852,-4737.21
C-33935,16088.291
C-12280,218916.12
C-7324,-1443.3429
C-10229,50001.574
C-29096,81795.89
C-7146,61854.508
C-48092,-314.25842
C-7802,10865.479
C-41995,73955.9
C-24558,298.2241
C-41069,65655.76
C-49771,695.09375
C-14429,28927.092
C-36459,45930.773
C-595,12362.319
C-37861,27643.797
C-5702,32528.988
C-48665,347.1903
C-44788,406.4521
C-41968,495.11023
C-28021,25656.791
C-49046,183540.22
C-48198,-453.16943
C-2224,41345.5
C-29812,-311.21088
C-28119,22092.127
C-33458,26380.404
C-31298,39495.777
C-42213,-260.3092
C-45134,-37.105927
C-18790,61283.4
C-8651,40667.965
C-34551,100641.18
C-46838,-2344.3606
C-45834,-9334.589
C-23656,61026.074
C-35479,56721.562
C-9171,126266.12
C-32795,144331.97
C-39761,22727.7
C-6842,26232.35
C-1477,154672.5
C-29391,11072.579
C-36372,55727.17
C-3050,812.04895
C-24135,-159.8627
C-17657,118728.93
C-22379,73279.54
C-48251,707.1823
C-47996,-353.6734
C-46600,874.4192
C-24183,-207.7279
C-39134,180643.25
C-3569,74465.805
C-44734,-160.09933
C-26917,46523.867
C-43369,1047.9333
C-16973,82080.95
C-10007,493.8689
C-45821,-774.64923
C-22286,35540.12
C-26486,49373.67
C-4785,105088.15
C-41874,-491.8613
C-40217,169060.34
C-21423,70907.38
C-42449,599.7057
C-34243,103021.26
C-3917,184845.8
C-33066,92502.04
C-2723,16167.211
C-8412,90145.36
C-9722,16305.178
C-38320,46919.04
C-29676,20683.227
C-27298,49496.38
C-31654,24173.828
C-13695,17814.326
C-25086,-140.07782
C-44465,166.8058
C-21654,77836.75
C-41060,99519.88
C-49595,-1189.1666
C-6280,109320.24
C-14434,18557.398
C-35331,44649.816
C-22482,60583.562
C-39569,48312.13
C-7791,94821.87
C-41802,6236.384
C-39667,31505.83
C-12376,57473.64
C-40906,91147.88
C-38890,22011.865
C-37476,69933.24
C-44946,317.50247
C-44451,1216.8673
C-37113,166530.14
C-29497,23378.568
C-19756,208.34973
C-10272,23969.725
C-32834,132203.58
C-23725,73668.75
C-10753,-230.03592
C-17104,-1922.7738
C-19153,53616.98
C-17340,18627.305
C-43187,-5501.4805
C-49532,79.876945
C-9014,42053.61
C-19519,69916.84
C-46047,1210.0237
C-32269,20207.605
C-808,20525.395
C-25924,40719.773
C-39832,58080.215
C-9670,74458.72
C-44243,-493.36688
C-32273,7003.7847
C-38474,98584.85
C-3098,141131.84
C-1113,123557.17
C-48460,578.77606
C-14158,-56.274807
C-16411,166276.1
C-26187,130785.32
C-47185,121.626884
C-5417,62950.695
C-43392,-207.91591
C-13685,227972.2
C-18903,34162.1
C-44156,198.72646
C-28524,15695.521
C-5184,50104.95
C-45033,564.4697
C-45354,-582.3702
C-41123,38049.902
C-14213,-573.8603
C-6888,43247.97
C-14104,-294.00247
C-2495,27899.389
C-17057,130463.11
C-5005,56929.582
C-41297,1462.428
C-42963,218.13852
C-23251,23530.305
C-23970,17944.346
C-40714,155182.77
C-38859,103313.81
C-7112,76716.875
C-18928,45296.938
C-29862,101738.164
C-30212,47705.64
C-15021,85230.23
C-7476,49395.867
C-41600,442.7746
C-32173,47509.42
C-38518,41124.53
C-38801,72889.55
C-1784,104459.4
C-24927,152335.86
C-39547,84730.125
C-43215,66187.164
C-23422,-320.7119
C-37723,54169.457
C-29178,102681.36
C-19008,116919.82
C-5849,90148.33
C-6004,76666.19
C-23104,23422.564
C-24882,64734.082
C-43468,-1394.5038
C-35132,94701.64
C-42580,152.03069
C-11578,27522.62
C-8678,15299.63
C-19927,-1435.828
C-30508,33115.363
C-44874,-768.2582
C-30186,-3176.8875
C-10760,15432.779
C-26481,74981.59
C-46111,-137.13614
C-32145,117922.67
C-32092,2115.773
C-5752,105104.36
C-16382,88954.15
C-28591,123303.52
C-44846,40.90304
C-2932,57092.87
C-36463,139831.08
C-27695,33168.336
C-40748,85337.22
C-29783,106148.78
C-49739,-5.2382593
C-14812,73225.9
C-17082,37611.867
C-7455,94119.78
C-19358,27822.43
C-19549,39204.895
C-2666,45630.52
C-18984,78951.95
C-13649,23937.174
C-33798,12693.074
C-10307,91509.266
C-35501,107.59715
C-8935,70999.7
C-26153,19537.762
C-4606,75420.76
C-18360,-84.69766
C-39333,36119.85
C-12426,109203.29
C-6408,87561.54
C-28868,17184.426
C-42593,-271.61206
C-31808,105361.97
C-32004,44331.89
C-32204,52265.39
C-12801,93140.26
C-25815,71514.016
C-22768,61666.656
C-32048,66106.38
C-19658,23987.377
C-26891,8218.08
C-40188,141.48468
C-25433,26533.873
C-10378,85180.86
C-31318,188606.75
C-15344,-2263.52
C-22888,-220.09944
C-43034,289.52826
C-19211,60918.008
C-10432,-571.9986
C-22014,16641.852
C-18211,5581.6226
C-23968,-127.37685
C-48530,42.295193
C-28054,-574.2848
C-2058,13061.62
C-34942,104930.31
C-530,52313.77
C-38117,15506.162
C-20913,28897.426
C-47070,-1489.8951
C-26019,39594.08
C-28532,54605.008
C-46716,209.8097
C-39327,50442.004
C-7240,33156.156
C-37949,195190.31
C-2195,173764.75
C-3355,80875.26
C-19733,63369.78
C-34255,83192.68
C-49287,-449.32266
C-32256,108289.984
C-22180,52940.88
C-5193,46880.92
C-38427,155823.08
C-44886,8409.195
C-3791,43199.98
C-32566,68220.72
C-15243,64701.87
C-5240,50798.695
C-49218,60288.008
C-25534,-75.2687
C-47239,535.2458
C-8774,-1361.25
C-16520,148048.9
C-20311,106376.33
C-3650,156.64816
C-18558,27586.521
C-14820,145807.53
C-34556,131764.1
C-43883,3193.6953
C-40653,33944.387
C-47621,124.45757
C-49147,1270.7825
C-440,165294.58
C-11354,26810.023
C-15107,66321.29
C-24501,57574.566
C-28551,25463.455
C-28773,33447.156
C-36617,158823.83
C-28244,-200.34755
C-41307,5001.9556
C-832,56471.85
C-8287,-81.48554
C-41225,105206.53
C-13965,42312.445
C-6491,73308.59
C-10751,46717.83
C-27955,28754.209
C-29401,27224.898
C-40588,29476.977
C-41993,190.72064
C-37136,133106.73
C-41702,-356.705
C-37634,52662.105
C-7102,5703.4844
C-32351,22708.84
C-17461,68536.836
C-2675,22030.605
C-34452,123882.414
C-35202,50195.926
C-35085,164560.83
C-25301,47231.473
C-18247,167.54411
C-26468,38415.86
C-39744,90095.48
C-39530,27400.936
C-15276,46341.65
C-27599,106099.586
C-16294,133425.39
C-45920,-132.31209
C-42972,-947.094
C-35739,140.06439
C-48070,544.9858
C-20738,85058.72
C-20164,490.3376
C-35798,100183.71
C-36931,51213.047
C-40067,79738.29
C-7033,11865.023
C-2919,69686.61
C-92,971.61597
C-10068,112000.82
C-30148,123074.8
C-6804,17833.836
C-41739,-2716.183
C-26448,13498.223
C-5100,56194.93
C-6401,164248.75
C-14665,43487.883
C-3315,23194.682
C-20983,50874.85
C-32947,-3892.23
C-13518,56524.93
C-46708,-343.34094
C-6592,173728.27
C-12364,22757.385
C-46390,-3367.5847
C-7318,35304.375
C-12943,29431.734
C-2883,46695.746
C-25283,28002.742
C-1618,102.25371
C-1271,12406.184
C-40127,74118.44
C-36317,28375.025
C-48952,850.1639
C-29240,88718.695
C-25093,260.20358
C-12384,53497.555
C-34319,40835.453
C-47779,874.5145
C-12945,73423.21
C-36060,-202.6196
C-5616,-5199.883
C-41883,-2300.5427
C-9039,60732.766
C-25362,93331.87
C-13744,75697.445
C-25047,216615.62
C-13036,112301.1
C-36276,22553.223
C-2811,31.345055
C-21717,135930.55
C-46988,86.34463
C-48564,237.46295
C-24260,53978.332
C-39925,14924.532
C-16917,131685.22
C-27996,14410.041
C-37659,46241.2
C-15746,129623.02
C-46465,-642.7016
C-40197,58228.387
C-39307,124077.2
C-23902,54755.78
C-19873,17027.672
C-47956,-6068.246
C-13273,-122.90865
C-48337,-7385.2573
C-19271,12444.406
C-37094,83119.37
C-684,67632.95
C-24481,38798.63
C-12590,104253.26
C-25151,65771.9
C-17381,97647.914
C-38274,39791.082
C-1011,72531.445
C-1000,119449.27
C-20171,24622.809
C-17936,138062.48
C-44657,-166.04533
C-41222,83095.49
C-42705,733.0056
C-36949,137637.5
C-17725,48059.766
C-41035,-162.37105
C-2207,100095.25
C-11404,51008.69
C-1537,8389.085
C-49111,669.2815
C-39701,67886.125
C-14555,18805.254
C-23018,39626.258
C-26076,71391.97
C-1292,80434.81
C-33809,24065.596
C-34753,14058.597
C-30028,84026.42
C-33662,53053.914
C-11938,54787.133
C-15030,108826.516
C-25693,151011.22
C-39706,43286.51
C-49830,24.601326
C-1215,44821.64
C-22515,17239.955
C-34267,64604.07
C-31199,27848.887
C-46236,312.90875
C-16259,30424.326
C-2730,49517.62
C-17938,79176.59
C-41242,57014.42
C-378,56596.38
C-15648,213.06085
C-48043,-78.616714
C-3027,130416.28
C-43249,540.6944
C-26632,-248.12564
C-16859,67267.945
C-23573,118372.914
C-21886,46.835316
C-31479,60531.71
C-37999,-2322.5632
C-45817,927.90674
C-19011,27532.93
C-36365,28697.096
C-7416,46816.062
C-677,23173.81
C-10599,21281.664
C-1103,24536.28
C-44906,2067.94
C-16804,51416.363
C-38012,38888.87
C-13987,186802.22
C-19544,99437.98
C-3349,-118.58206
C-38961,56549.633
C-38259,22493.61
C-3666,23756.701
C-36638,80841.82
C-18230,166091.06
C-11076,50995.9
C-31226,50188.832
C-9312,35339.46
C-10276,106416.15
C-44905,-45.44503
C-33369,721.6667
C-34166,47684.4
C-45310,1525.9727
C-30527,130002.89
C-4627,18045.205
C-38353,137884.55
C-4974,93809.695
C-32095,-98.72828
C-13549,12500.404
C-43862,-897.4588
C-6688,110691.125
C-5382,46912.266
C-36550,71051.695
C-721,62235.938
C-1325,120653.27
C-21418,146071.58
C-33431,26864.062
C-25465,-1029.9819
C-6769,35539.633
C-35667,70545.64
C-22630,23185.93
C-1353,51291.016
C-15765,40263.676
C-47348,-56.474503
C-26798,-56.90189
C-1575,122911.66
C-26100,27.852833
C-41279,27519.863
C-43388,-135.14543
C-11917,122875.484
C-6243,39951.348
C-1218,47284.43
C-20692,828.90125
C-37907,51110.805
C-20591,123086.625
C-34997,24762.262
C-28405,42658.152
C-45810,1162.2892
C-10134,-693.6501
C-9407,26638.205
C-19191,57201.305
C-15367,21392.1
C-44513,197.1678
C-34160,27894.047
C-1599,45446.688
C-31067,53381.13
C-25519,49924.64
C-19761,34266.74
C-1661,100812.805
C-2525,46225.11
C-25450,24498.086
C-34833,27381.105
C-8560,113.05066
C-20590,24614.83
C-9890,101394.31
C-3415,8006.4434
C-7271,34372.527
C-948,24829.045
C-2910,101160.62
C-16054,56601.953
C-21243,20942.533
C-22407,138983.78
C-46383,844.04846
C-48914,509.91174
C-16529,14.096684
C-24655,-150.95474
C-1926,105125.625
C-32783,71532.68
C-30296,27608.795
C-23621,86030.914
C-35554,-1022.23553
C-46261,-1095.8289
C-34107,35185.688
C-42655,-252.9399
C-39873,57131.5
C-17191,-1476.8274
C-23048,76544.016
C-33498,33718.258
C-906,33338.527
C-7234,28373.602
C-18364,36501.34
C-4434,79957.49
C-23245,132139.64
C-17033,146002.1
C-2814,85143.43
C-39554,62923.918
C-24123,43927.887
C-7293,-994.875
C-41615,1152.4419
C-4869,41899.188
C-2885,43832.195
C-18098,112780.29
C-8981,110824.71
C-15668,-374.77768
C-2158,103439.516
C-47085,1941.8624
C-29563,16928.668
C-6396,13328.03
C-27245,37773.48
C-9571,11704.471
C-13085,51924.26
C-32744,12303.221
C-49207,50.006622
C-2573,148982.61
C-42732,581.225
C-32858,53026.93
C-14529,16170.47
C-7709,50236.676
C-24245,214631.81
C-28155,90794.57
C-9237,78244.086
C-20896,-2627.3235
C-29529,50346.06
C-49272,-1369.3241
C-3094,122208.664
C-4211,25756.297
C-40530,68114.18
C-26341,85369.664
C-42206,1167.6788
C-31908,75941.78
C-40632,399.61954
C-14432,63267.836
C-1169,14821.394
C-29803,72158.76
C-8662,146137.83
C-11102,46486.367
C-30954,26930.473
C-48216,2820.462
C-34932,25683.99
C-16705,-826.66754
C-20735,28034.037
C-10662,17879.957
C-6235,127379.8
C-20782,56025.797
C-44827,1757.0494
C-33580,115859.41
C-4046,34982.656
C-15992,88475.15
C-12605,109170.35
C-23469,-59.998325
C-16923,27397.97
C-41969,1110.2144
C-5294,46121.15
C-27875,55051.812
C-1197,65421.906
C-49768,14.747535
C-2251,-3579.065
C-33006,26270.074
C-26789,26125.45
C-30239,1147.5476
C-26818,151147.53
C-1901,-625.88586
C-23518,33556.465
C-7565,113199.13
C-27349,17697.316
C-11188,119838.805
C-8581,135403.64
C-25313,106783.78
C-14905,26712.336
C-34147,-456.06204
C-19991,55609.316
C-44,46841.066
C-37087,103694.805
C-22924,30602.053
C-33444,46787.64
C-3520,134987.88
C-34874,23413.44
C-24759,135965.81
C-5163,37734.418
C-24438,26783.586
C-39224,44667.91
C-2862,56959.105
C-9322,95143.71
C-14479,10970.538
C-22571,15014.066
C-33363,16847.57
C-42425,-526.0286
C-12100,42511.38
C-48101,-6043.262
C-4800,83535.914
C-37439,108852.984
C-18640,29048.648
C-37478,50301.254
C-45410,311.8906
C-23721,57476.07
C-20805,101952.305
C-4203,71522.18
C-31016,33751.18
C-35333,7201.9355
C-27054,26326.63
C-33869,19016.283
C-5611,121035.55
C-28015,63086.867
C-7157,122058.28
C-47876,-619.99615
C-45609,715.06415
C-46711,98009.91
C-37894,55424.184
C-18639,77097.23
C-39707,66705.984
C-36104,164292.92
C-13946,113348.19
C-11258,197123.25
C-43994,-2108.2212
C-43714,-1659.3788
C-47433,866.4728
C-35828,30395.975
C-24589,26990.824
C-38955,15494.546
C-14097,39237.688
C-41681,-5609.4297
C-30975,48460.53
C-42577,76.25117
C-36919,17556.98
C-24623,16931.328
C-1994,16526.168
C-47518,-3378.1052
C-48910,-2160.4653
C-27267,26436.947
C-48509,2650.7817
C-33108,117049.734
C-36352,42622.08
C-42408,-220.51918
C-44763,171.77013
C-44429,19.015701
C-14203,63548.574
C-26258,39396.96
C-7597,45782.766
C-29895,56237.316
C-1519,56776.65
C-37590,117204.375
C-18931,152634.02
C-10989,71875.27
C-5345,60566.242
C-28087,25414.613
C-3593,47103.125
C-21482,59362.836
C-36998,33506.863
C-29828,29765.107
C-8924,108538.76
C-18318,55037.016
C-28919,27253.936
C-6300,135331.3
C-19045,496.9364
C-47244,598.6197
C-3813,9054.418
C-9410,55167.445
C-18688,-282.4134
C-28819,291.74634
C-37548,277.9315
C-17576,49742.656
C-41448,224.22179
C-44453,-130.09695
C-47121,-2687.7334
C-18644,115148.72
C-31096,46470.11
C-4325,31678.914
C-11150,17850.264
C-47399,549.42505
C-11854,134790.31
C-9960,24630.111
C-6389,66174.44
C-36965,-149.53723
C-17652,24190.713
C-49875,1567.9354
C-9387,90012.414
C-36141,22085.342
C-31672,47098.934
C-31174,108112.664
C-39123,68672.88
C-36981,57762.0
C-38636,71437.164
C-19146,6576.3213
C-1646,20986.89
C-12204,86873.18
C-3963,17499.945
C-48599,1227.0796
C-40535,143233.88
C-49003,-537.96136
C-25917,22995.195
C-27572,201552.25
C-8879,100227.4
C-12492,107264.0
C-33357,135792.83
C-6624,76236.67
C-15322,49458.2
C-36286,19125.174
C-44449,349.33954
C-45203,-518.3056
C-27721,139273.88
C-12668,57493.004
C-38966,90542.05
C-1827,99615.68
C-5576,31155.758
C-21883,27585.2
C-18490,24078.156
C-2551,16846.125
C-29081,33074.645
C-27653,49611.6
C-23738,42875.223
C-33181,1574.9668
C-17872,113577.57
C-36224,45247.344
C-9959,176.79437
C-15142,21092.756
C-23480,127180.26
C-28252,89063.46
C-47180,350.72675
C-3908,-424.12177
C-20072,72293.1
C-3490,25112.926
C-45924,10860.953
C-18345,-2875.1191
C-21890,190473.77
C-13936,44021.566
C-30976,17735.414
C-38402,61875.227
C-4704,134520.98
C-24827,37209.24
C-311,2238.2117
C-12006,186846.6
C-21646,44187.43
